"timestamp","tid","price","amount","exchange","type"
1466000719,19211244,688.62,0.55,"bitfinex","sell"
1466000724,19211246,688.62,0.7647674,"bitfinex","sell"
1466000726,19211250,688.62,0.40767214,"bitfinex","sell"
1466000732,19211254,688.62,0.01391678,"bitfinex","sell"
1466000735,19211258,688.63,0.1,"bitfinex","buy"
1466000738,19211260,688.62,0.01391517,"bitfinex","sell"
1466000740,19211262,688.63,0.35,"bitfinex","buy"
1466000743,19211266,688.63,0.1,"bitfinex","buy"
1466000747,19211270,688.63,0.1,"bitfinex","buy"
1466000764,19211272,688.62,0.01094451,"bitfinex","sell"
1466000764,19211274,688.62,0.28905549,"bitfinex","sell"
1466000767,19211276,688.63,6.587,"bitfinex","buy"
1466000767,19211278,688.63,3.413,"bitfinex","buy"
1466000770,19211280,688.62,0.0698286,"bitfinex","sell"
1466000770,19211282,688.62,0.04329246,"bitfinex","sell"
1466000785,19211286,688.63,0.05,"bitfinex","buy"
1466000789,19211288,688.63,0.1,"bitfinex","buy"
1466000798,19211290,688.62,0.54534607,"bitfinex","sell"
1466000810,19211296,688.63,3.22170253,"bitfinex","buy"
1466000819,19211298,688.63,0.1,"bitfinex","buy"
1466000826,19211300,688.62,0.05529341,"bitfinex","sell"
1466000829,19211302,688.63,0.36,"bitfinex","buy"
1466000850,19211352,688.62,0.02910179,"bitfinex","sell"
1466000858,19211354,688.62,0.14550898,"bitfinex","sell"
1466000861,19211356,688.63,0.19,"bitfinex","buy"
1466000871,19211358,688.63,0.05,"bitfinex","buy"
1466000874,19211360,688.63,1.38213494,"bitfinex","buy"
1466000874,19211362,688.63,7.2304,"bitfinex","buy"
1466000874,19211364,688.63,11.53066506,"bitfinex","buy"
1466000875,19211366,688.63,2.8577,"bitfinex","buy"
1466000885,19211368,688.63,1.843038,"bitfinex","buy"
1466000889,19211370,688.63,0.05,"bitfinex","buy"
1466000890,19211372,688.64,25,"bitfinex","buy"
1466000892,19211374,688.63,1.941162,"bitfinex","buy"
1466000894,19211376,688.63,1.941162,"bitfinex","buy"
1466000899,19211378,688.63,1,"bitfinex","buy"
1466000908,19211380,688.63,1,"bitfinex","buy"
1466000914,19211386,688.63,10,"bitfinex","buy"
1466000922,19211390,688.63,0.532,"bitfinex","buy"
1466000922,19211392,688.63,0.588,"bitfinex","buy"
1466000923,19211394,688.63,4.8600615,"bitfinex","buy"
1466000923,19211396,688.64,20.1399385,"bitfinex","buy"
1466000925,19211398,688.64,5,"bitfinex","buy"
1466000929,19211400,688.64,7.0600615,"bitfinex","buy"
1466000929,19211402,688.64,4.9399385,"bitfinex","buy"
1466000939,19211410,688.64,0.2819385,"bitfinex","buy"
1466000939,19211412,688.64,0.0600615,"bitfinex","buy"
1466000939,19211414,688.64,0.309,"bitfinex","buy"
1466000939,19211416,688.63,0.32333731,"bitfinex","sell"
1466000943,19211418,688.63,0.05883424,"bitfinex","sell"
1466000945,19211420,688.64,19.0868,"bitfinex","buy"
1466000954,19211424,688.64,1.04,"bitfinex","buy"
1466000956,19211428,688.64,0.398,"bitfinex","buy"
1466000967,19211430,688.63,0.01414005,"bitfinex","sell"
1466000979,19211432,688.64,22.1194,"bitfinex","buy"
1466000983,19211434,688.64,0.328,"bitfinex","buy"
1466000987,19211438,688.64,4.4368615,"bitfinex","buy"
1466000990,19211440,688.63,1,"bitfinex","sell"
1466000994,19211442,688.7,0.05,"bitfinex","buy"
1466000996,19211444,688.7,0.95,"bitfinex","buy"
1466001009,19211446,689.16,0.05,"bitfinex","buy"
1466001010,19211448,689.16,0.05,"bitfinex","buy"
1466001012,19211452,689.16,0.05,"bitfinex","buy"
1466001026,19211454,689.09,0.5,"bitfinex","sell"
1466001031,19211456,689.16,0.7626,"bitfinex","buy"
1466001032,19211458,689.1,0.5,"bitfinex","sell"
1466001034,19211460,689.16,4.5,"bitfinex","buy"
1466001042,19211462,689.12,0.1,"bitfinex","sell"
1466001066,19211466,689.02,0.02182634,"bitfinex","sell"
1466001080,19211468,689.08,0.03,"bitfinex","sell"
1466001087,19211470,689.15,1,"bitfinex","buy"
1466001091,19211472,689.14,1,"bitfinex","buy"
1466001098,19211474,689.12,0.19,"bitfinex","buy"
1466001113,19211478,689.11,1.71138643,"bitfinex","buy"
1466001113,19211480,689.11,0.17691757,"bitfinex","buy"
1466001121,19211482,689.1,1.888304,"bitfinex","sell"
1466001121,19211484,689.1,0.05,"bitfinex","sell"
1466001125,19211486,689.01,0.01,"bitfinex","buy"
1466001154,19211496,689.03,0.01,"bitfinex","sell"
1466001159,19211498,689.03,1.853916,"bitfinex","sell"
1466001160,19211500,689.08,0.5,"bitfinex","buy"
1466001171,19211502,689.03,1.780196,"bitfinex","sell"
1466001178,19211506,689.01,1.780196,"bitfinex","sell"
1466001192,19211508,689.02,7.2461,"bitfinex","buy"
1466001192,19211510,689.03,1,"bitfinex","buy"
1466001192,19211512,689.05,7.691,"bitfinex","buy"
1466001200,19211514,688.64,1.89872,"bitfinex","sell"
1466001200,19211516,689.02,0.05,"bitfinex","sell"
1466001200,19211518,689,0.05,"bitfinex","sell"
1466001200,19211520,689,0.05,"bitfinex","sell"
1466001200,19211522,689.03,1.85128,"bitfinex","sell"
1466001200,19211524,688.9,0.05,"bitfinex","sell"
1466001200,19211526,689.01,0.05,"bitfinex","sell"
1466001210,19211528,688.65,5.224658,"bitfinex","sell"
1466001210,19211530,688.66,1.997842,"bitfinex","sell"
1466001220,19211532,688.64,1.783706,"bitfinex","sell"
1466001220,19211534,688.61,0.015,"bitfinex","sell"
1466001220,19211536,688.63,0.05,"bitfinex","sell"
1466001220,19211538,688.61,0.05,"bitfinex","sell"
1466001220,19211540,688.61,0.05,"bitfinex","sell"
1466001220,19211542,688.61,8.548294,"bitfinex","sell"
1466001229,19211544,688.62,0.19,"bitfinex","sell"
1466001230,19211546,688.62,0.74459819,"bitfinex","sell"
1466001230,19211548,688.55,0.05,"bitfinex","sell"
1466001230,19211550,688.61,0.451706,"bitfinex","sell"
1466001230,19211552,688.55,0.01003,"bitfinex","sell"
1466001230,19211554,688.54,7.2454,"bitfinex","sell"
1466001230,19211556,688.53,0.1,"bitfinex","sell"
1466001230,19211558,688.6,0.05,"bitfinex","sell"
1466001230,19211560,688.53,2.04047846,"bitfinex","sell"
1466001250,19211572,688.54,0.5,"bitfinex","sell"
1466001250,19211574,688.54,3,"bitfinex","sell"
1466001250,19211576,688.03,7.51997525,"bitfinex","sell"
1466001250,19211578,688.5,25,"bitfinex","sell"
1466001250,19211580,688.29,8.8007,"bitfinex","sell"
1466001250,19211582,688.5,0.05,"bitfinex","sell"
1466001250,19211584,688.45,0.1,"bitfinex","sell"
1466001250,19211586,688.4,0.05,"bitfinex","sell"
1466001250,19211588,688.37,0.3947,"bitfinex","sell"
1466001250,19211590,688.1,0.05,"bitfinex","sell"
